Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
921,-10,0,1.00,0.98
922,-10,0,1.00,0.98
923,-10,0,1.00,0.98
924,-10,0,1.00,0.98
925,-10,0,1.00,0.98
926,-10,0,1.00,0.98
927,-10,0,1.00,0.98
928,-10,0,1.00,0.98
929,-10,0,1.00,0.98
930,-10,0,1.00,0.98
931,-10,0,1.00,0.98
932,-10,0,1.00,0.98
933,-10,0,1.00,0.98
934,-10,0,1.00,0.98
935,-10,0,1.00,0.98
936,-10,0,1.00,0.98
937,-10,0,1.00,0.98
938,-10,0,1.00,0.98
939,-10,0,1.00,0.98
940,-10,0,1.00,0.98
941,-10,0,1.00,0.98
942,-10,0,1.00,0.98
943,-10,0,1.00,0.98
944,-10,0,1.00,0.98
945,-10,0,1.00,0.98
946,-10,0,1.00,0.98
947,-10,0,1.00,0.98
948,-10,0,1.00,0.98
949,-10,0,1.00,0.98
950,-10,0,1.00,0.98
951,-10,0,1.00,0.98
952,-10,0,1.00,0.98
953,-10,0,1.00,0.98
954,-10,0,1.00,0.98
955,-10,0,1.00,0.98
956,-10,0,1.00,0.98
957,-10,0,1.00,0.98
958,-10,0,1.00,0.98
959,-10,0,1.00,0.98
960,-10,0,1.00,0.98
961,-10,0,1.00,0.98
962,-10,0,1.00,0.98
963,-10,0,1.00,0.98
964,-10,0,1.00,0.98
965,-10,0,1.00,0.98
966,-10,0,1.00,0.98
967,-10,0,1.00,0.98
968,-10,0,1.00,0.98
969,-10,0,1.00,0.98
970,-10,0,1.00,0.98
971,-10,0,1.00,0.98
972,-10,0,1.00,0.98
973,-10,0,1.00,0.98
974,-10,0,1.00,0.98
975,-10,0,1.00,0.98
976,-10,0,1.00,0.98
977,-10,0,1.00,0.98
978,-10,0,1.00,0.98
979,-10,0,1.00,0.98
980,-10,0,1.00,0.98
981,-10,0,1.00,0.98
982,-10,0,1.00,0.98
983,-10,0,1.00,0.98
984,-10,0,1.00,0.98
985,-10,0,1.00,0.98
986,-10,0,1.00,0.98
987,-10,0,1.00,0.98
988,-10,0,1.00,0.98
989,-10,0,1.00,0.98
990,-10,0,1.00,0.98
991,-10,0,1.00,0.98
992,-10,0,1.00,0.98
993,-10,0,1.00,0.98
994,-10,0,1.00,0.98
995,-10,0,1.00,0.98
996,-10,0,1.00,0.98
997,-10,0,1.00,0.98
998,-10,0,1.00,0.98
999,-10,0,1.00,0.98
1000,-10,0,1.00,0.98
