Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
213,-10,0,1.00,0.98
214,-10,0,1.00,0.98
215,-10,0,1.00,0.98
216,-10,0,1.00,0.98
217,-10,0,1.00,0.98
218,-10,0,1.00,0.98
219,-10,0,1.00,0.98
220,-10,0,1.00,0.98
221,-10,0,1.00,0.98
222,-10,0,1.00,0.98
223,-10,0,1.00,0.98
224,-10,0,1.00,0.98
225,-10,0,1.00,0.98
226,-10,0,1.00,0.98
227,-10,0,1.00,0.98
228,-10,0,1.00,0.98
229,-10,0,1.00,0.98
230,-10,0,1.00,0.98
231,-10,0,1.00,0.98
232,-10,0,1.00,0.98
233,-10,0,1.00,0.98
234,-10,0,1.00,0.98
235,-10,0,1.00,0.98
236,-10,0,1.00,0.98
237,-10,0,1.00,0.98
238,-10,0,1.00,0.98
239,-10,0,1.00,0.98
240,-10,0,1.00,0.98
241,-10,0,1.00,0.98
242,-10,0,1.00,0.98
243,-10,0,1.00,0.98
244,-10,0,1.00,0.98
245,-10,0,1.00,0.98
246,-10,0,1.00,0.98
247,-10,0,1.00,0.98
248,-10,0,1.00,0.98
249,-10,0,1.00,0.98
250,-10,0,1.00,0.98
251,-10,0,1.00,0.98
252,-10,0,1.00,0.98
253,-10,0,1.00,0.98
254,-10,0,1.00,0.98
255,-10,0,1.00,0.98
256,-10,0,1.00,0.98
257,-10,0,1.00,0.98
258,-10,0,1.00,0.98
259,-10,0,1.00,0.98
260,-10,0,1.00,0.98
261,-10,0,1.00,0.98
262,-10,0,1.00,0.98
263,-10,0,1.00,0.98
264,-10,0,1.00,0.98
265,-10,0,1.00,0.98
266,-10,0,1.00,0.98
267,-10,0,1.00,0.98
268,-10,0,1.00,0.98
269,-10,0,1.00,0.98
270,-10,0,1.00,0.98
271,-10,0,1.00,0.98
272,-10,0,1.00,0.98
273,-10,0,1.00,0.98
274,-10,0,1.00,0.98
275,-10,0,1.00,0.98
276,-10,0,1.00,0.98
277,-10,0,1.00,0.98
278,-10,0,1.00,0.98
279,-10,0,1.00,0.98
280,-10,0,1.00,0.98
281,-10,0,1.00,0.98
282,-10,0,1.00,0.98
283,-10,0,1.00,0.98
284,-10,0,1.00,0.98
285,-10,0,1.00,0.98
286,-10,0,1.00,0.98
287,-10,0,1.00,0.98
288,-10,0,1.00,0.98
289,-10,0,1.00,0.98
290,-10,0,1.00,0.98
291,-10,0,1.00,0.98
292,-10,0,1.00,0.98
293,-10,0,1.00,0.98
294,-10,0,1.00,0.98
295,-10,0,1.00,0.98
296,-10,0,1.00,0.98
297,-10,0,1.00,0.98
298,-10,0,1.00,0.98
299,-10,0,1.00,0.98
300,-10,0,1.00,0.98
301,-10,0,1.00,0.98
302,-10,0,1.00,0.98
303,-10,0,1.00,0.98
304,-10,0,1.00,0.98
305,-10,0,1.00,0.98
306,-10,0,1.00,0.98
307,-10,0,1.00,0.98
308,-10,0,1.00,0.98
309,-10,0,1.00,0.98
310,-10,0,1.00,0.98
311,-10,0,1.00,0.98
312,-10,0,1.00,0.98
313,-10,0,1.00,0.98
314,-10,0,1.00,0.98
315,-10,0,1.00,0.98
316,-10,0,1.00,0.98
317,-10,0,1.00,0.98
318,-10,0,1.00,0.98
319,-10,0,1.00,0.98
320,-10,0,1.00,0.98
321,-10,0,1.00,0.98
322,-10,0,1.00,0.98
323,-10,0,1.00,0.98
324,-10,0,1.00,0.98
325,-10,0,1.00,0.98
326,-10,0,1.00,0.98
327,-10,0,1.00,0.98
328,-10,0,1.00,0.98
329,-10,0,1.00,0.98
330,-10,0,1.00,0.98
331,-10,0,1.00,0.98
332,-10,0,1.00,0.98
333,-10,0,1.00,0.98
334,-10,0,1.00,0.98
335,-10,0,1.00,0.98
336,-10,0,1.00,0.98
337,-10,0,1.00,0.98
338,-10,0,1.00,0.98
339,-10,0,1.00,0.98
340,-10,0,1.00,0.98
341,-10,0,1.00,0.98
342,-10,0,1.00,0.98
343,-10,0,1.00,0.98
344,-10,0,1.00,0.98
345,-10,0,1.00,0.98
346,-10,0,1.00,0.98
347,-10,0,1.00,0.98
348,-10,0,1.00,0.98
349,-10,0,1.00,0.98
350,-10,0,1.00,0.98
351,-10,0,1.00,0.98
352,-10,0,1.00,0.98
353,-10,0,1.00,0.98
354,-10,0,1.00,0.98
355,-10,0,1.00,0.98
356,-10,0,1.00,0.98
357,-10,0,1.00,0.98
358,-10,0,1.00,0.98
359,-10,0,1.00,0.98
360,-10,0,1.00,0.98
361,-10,0,1.00,0.98
362,-10,0,1.00,0.98
363,-10,0,1.00,0.98
364,-10,0,1.00,0.98
365,-10,0,1.00,0.98
366,-10,0,1.00,0.98
367,-10,0,1.00,0.98
368,-10,0,1.00,0.98
369,-10,0,1.00,0.98
370,-10,0,1.00,0.98
371,-10,0,1.00,0.98
372,-10,0,1.00,0.98
373,-10,0,1.00,0.98
374,-10,0,1.00,0.98
375,-10,0,1.00,0.98
376,-10,0,1.00,0.98
377,-10,0,1.00,0.98
378,-10,0,1.00,0.98
379,-10,0,1.00,0.98
380,-10,0,1.00,0.98
381,-10,0,1.00,0.98
382,-10,0,1.00,0.98
383,-10,0,1.00,0.98
384,-10,0,1.00,0.98
385,-10,0,1.00,0.98
386,-10,0,1.00,0.98
